R,G,B,class
0.4425439537349659,0.4437244399234237,0.47857789097156694,1
0.09785607767422826,0.11895959251899518,0.03485348081514143,0
0.0643828972460937,0.10419249578081402,0.05441964644345134,0
0.009374703765418952,0.019454662329811342,-0.08948800855736769,1
0.12501216801265994,0.17407513000097125,0.12349389960488547,0
-0.040765135065567795,0.007177709074015525,-0.03524850125320878,1
0.1156167747801143,0.14065702427007504,0.09541437114992606,0
0.08389244537814546,0.0684675108885576,0.07696580679386641,1
0.055326350161209625,0.11071274383841442,0.04996258726691275,1
0.07561726392213866,0.10929650990315427,0.0839548519081692,1
0.1362916378764928,0.16199950224881743,0.21088536723385298,1
0.21666591528951917,0.2378511671108349,0.25727342589840446,1
0.19673176013463653,0.1899996383879728,0.14864711429834676,2
0.03346921551742463,0.011318589156867905,-0.04464380069925628,2
0.025578340848385134,0.029425111129666906,-0.04245900402022691,2
0.09096197100600016,0.10236423557518201,-0.008813326110172857,2
-0.022807715877338146,0.004721503605421747,-0.03553206367134009,0
0.09458413486269075,0.07375835809117631,0.05030415635015093,2
0.21346538702343854,0.16729887423810022,0.14354979607047552,2
0.10259803044119391,0.1558165014639301,0.09741231102408841,1
0.029944683169076586,0.08589136821225897,0.06606010823303878,0
0.23194228055049942,0.2394541969418661,0.16629221470414526,1
0.11388402817484632,0.1326842597325643,0.08456862591587977,1
0.11297310966661647,0.14609560075301053,0.07764203332036272,1
0.1954654303591236,0.15750310299842685,0.1715446601092206,2
-0.053896487348685955,-0.03367738459764133,-0.10521550401473866,2
0.12507614074552167,0.14899061296483412,0.09482242175619225,1
0.08578335272529837,0.11274532719104757,0.09679658133516354,0
0.13415862431126113,0.1555236982584983,0.05082196512633136,0
0.11386075058909237,0.17841156245434286,0.13495952073237827,0
0.09817214467413606,0.10107899503160031,0.13779051443782617,0
0.09011063405614687,0.11505271168032766,0.10898325086863879,2
-0.0427452045751296,-0.06591138916588485,-0.0764425860738274,2
0.007697203826815507,0.06786931799869222,0.0023251008535531,1
0.06167384580757429,0.1164976987742312,0.06053247644448563,1
0.13694181721421977,0.1390357358925033,0.1887003150737962,2
0.20068226194028943,0.1864611358822321,0.2164862490439137,1
0.14609858938098508,0.15145844002213724,0.17477629887957125,2
0.25332805228290456,0.23188502923295387,0.2258212010872352,1
0.21067471568680912,0.19641135344976168,0.1809286780039077,1
0.18860822897599058,0.1731814108555998,0.21503318402608382,2
0.22910211671526506,0.25640938645606615,0.23765876164756833,2
